City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
233,Kilis,TR,2020-08-20 03:32:21,36.72,37.12,68.0,72,1,6.02
234,Altamira,BR,2020-08-20 03:32:21,-3.2,-52.21,76.41,58,24,2.98
235,Mosquera,CO,2020-08-20 03:32:21,4.71,-74.23,53.6,93,20,2.24
236,Matara,LK,2020-08-20 03:32:21,5.95,80.54,84.25,71,100,11.77
237,Umm Kaddadah,SD,2020-08-20 03:32:22,13.6,26.69,75.22,74,70,15.79
238,Talagang,PK,2020-08-20 03:32:22,32.93,72.42,80.13,81,100,17.36
239,Pinega,RU,2020-08-20 03:32:22,64.7,43.39,49.35,73,0,5.59
240,Cottbus,DE,2020-08-20 03:32:22,51.77,14.33,57.99,95,86,3.33
241,Mahon,ES,2020-08-20 03:32:23,39.89,4.27,75.2,94,0,5.82
242,Chipoka,MW,2020-08-20 03:32:23,-13.99,34.52,71.83,55,3,12.77
243,Rye,US,2020-08-20 03:32:23,40.98,-73.68,69.01,93,20,3.36
244,Wattegama,LK,2020-08-20 03:32:23,6.8,81.48,86.0,79,20,12.75
245,Wagar,SD,2020-08-20 03:32:24,16.15,36.2,84.43,61,66,14.03
246,Iquitos,PE,2020-08-20 03:30:38,-3.75,-73.25,74.79,93,28,0.6
247,Khorramshahr,IR,2020-08-20 03:32:24,30.44,48.17,80.6,39,0,4.7
248,Gazojak,TM,2020-08-20 03:32:24,41.19,61.4,80.19,19,0,7.27
249,General Roca,AR,2020-08-20 03:32:25,-39.03,-67.58,32.0,61,0,9.17
250,Timbiras,BR,2020-08-20 03:32:25,-4.26,-43.94,71.98,91,80,2.95
251,Iquique,CL,2020-08-20 03:32:25,-20.22,-70.14,60.8,63,90,8.05
252,Constitucion,CL,2020-08-20 03:32:25,-35.33,-72.42,44.71,69,0,7.25
253,Itainopolis,BR,2020-08-20 03:32:26,-7.45,-41.48,70.3,43,96,3.2
254,Shar,KZ,2020-08-20 03:32:26,49.59,81.05,79.12,22,2,15.59
255,Ruwi,OM,2020-08-20 03:32:26,23.6,58.55,87.8,79,20,3.36
256,Luderitz,NA,2020-08-20 03:32:26,-26.65,15.16,57.47,35,0,9.69
257,Virginia Beach,US,2020-08-20 03:32:27,36.85,-75.98,77.0,94,75,4.7
258,Belyy Yar,RU,2020-08-20 03:32:27,53.6,91.39,64.4,68,18,2.24
259,Moen,NO,2020-08-20 03:32:27,69.13,18.61,46.4,100,96,4.7
260,Sisimiut,GL,2020-08-20 03:32:27,66.94,-53.67,47.93,76,0,5.41
261,Kpandae,GH,2020-08-20 03:32:28,8.47,-0.01,71.62,90,20,4.85
262,Najran,SA,2020-08-20 03:32:28,17.49,44.13,77.0,25,40,1.41
263,Severnoye,RU,2020-08-20 03:32:28,56.35,78.36,55.22,79,52,14.41
264,Sur,OM,2020-08-20 03:32:28,22.57,59.53,89.87,54,45,2.33
265,Jepelacio,PE,2020-08-20 03:32:29,-6.12,-76.95,65.71,90,2,1.12
266,Gescher,DE,2020-08-20 03:32:29,51.95,7.0,71.01,71,100,5.99
267,Bahia Blanca,AR,2020-08-20 03:29:18,-38.72,-62.27,37.71,76,2,6.33
268,Salinopolis,BR,2020-08-20 03:32:29,-0.61,-47.36,79.43,82,44,12.91
269,Liverpool,GB,2020-08-20 03:30:21,53.41,-2.98,62.6,67,67,13.87
270,Sao Joao Da Barra,BR,2020-08-20 03:32:30,-21.64,-41.05,71.4,89,0,4.34
271,Lebu,CL,2020-08-20 03:32:30,-37.62,-73.65,43.65,73,0,16.58
272,Bethanien,NA,2020-08-20 03:32:30,-26.5,17.16,35.1,67,0,4.21
